Species,BARI,BLASTOPIA,BS,COPIA2,COPIA,Copia1,DM1731,DM412,DMCR1A,DOC,FW3,FW,G2,G4,G5,GYPSY4,GYPSY6,GYPSY,Gypsy1,Gypsy2,HELENA,INVADER2,INVADER6,IVK,I,Jockey,LOOPER1,MAX,MICROPIA,QUASIMODO,R12,R1,ROO,STALKER4,S,TC12,TRANSPAC
Z.indianus.RCR04,2,NA,587,NA,NA,0,0,1587,285,NA,122,470,0,NA,3,1411,NA,521,NA,NA,40,NA,NA,NA,0,NA,NA,NA,244,1,6,NA,NA,2432,2,NA,NA
Z.inermis,5,NA,86,0,NA,1,0,NA,3,NA,NA,NA,97,NA,99,2836,NA,747,NA,0,90,NA,0,NA,NA,NA,NA,NA,259,NA,4,NA,NA,NA,NA,NA,NA
Z.kolodkinae,NA,NA,117,NA,25,1,0,952,1,12474,0,1381,1645,NA,NA,1667,NA,669,NA,NA,97,63,NA,NA,NA,NA,NA,NA,1308,NA,4,NA,NA,NA,90,NA,NA
Z.lachaisei,5,NA,NA,NA,664,1189,NA,NA,NA,5317,NA,NA,NA,NA,7,NA,NA,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,5,NA,NA,NA,NA,NA,NA
Z.nigranus,NA,NA,182,0,648,0,0,1408,NA,3553,NA,1,NA,NA,3,NA,NA,745,NA,4,37,67,NA,NA,NA,NA,NA,NA,217,NA,6,NA,NA,NA,NA,NA,NA
Z.ornatus,4,NA,10,NA,800,1000,0,1459,1,11151,NA,511,NA,39,104,2358,NA,3,NA,NA,268,151,NA,NA,NA,NA,NA,NA,264,18,10,NA,NA,3392,220,NA,NA
Z.taronus,NA,NA,182,0,649,0,2,1601,NA,3701,NA,1,NA,NA,3,NA,NA,583,NA,4,29,94,NA,NA,NA,NA,NA,NA,218,NA,6,NA,NA,NA,NA,NA,NA
Z.tsacasi.car7-4,9,NA,788,NA,18,1,0,1137,2,11682,NA,742,0,NA,132,46,NA,633,NA,NA,77,27,NA,NA,NA,NA,NA,NA,211,NA,5,NA,NA,NA,89,NA,NA
Z.tsacasi,9,NA,788,NA,18,1,0,1137,2,11682,NA,742,0,NA,132,46,NA,633,NA,NA,77,27,NA,NA,NA,NA,NA,NA,211,NA,5,NA,NA,NA,89,NA,NA
Z.vittiger,5,NA,NA,0,660,0,0,NA,NA,5864,NA,128,3,NA,4,NA,NA,200,NA,NA,NA,170,NA,NA,0,NA,NA,NA,251,27,4,3,NA,NA,NA,NA,NA
